Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months
310M300US14010,14010,"Bloomington, IL ",71716,1537,44683,1519,34462,1689,27033,1805,61320,3698,82116,4505,96215,8292,40025,3978,81223,3460,100353,5448,N,N,47824,3058,33.5
310M300US14020,14020,"Bloomington, IN ",64040,1722,32885,1644,N,N,31155,2010,43693,2834,67255,3483,78448,5376,27996,3307,64315,4011,88674,7116,N,N,36899,4571,31.3
310M300US14100,14100,"Bloomsburg-Berwick, PA ",33824,1052,21749,1193,16444,1143,12075,1102,50038,3491,62674,3752,69074,3314,28082,4490,67173,4186,78627,4964,N,N,43666,7433,35.5
310M300US14140,14140,"Bluefield, WV-VA ",40816,1602,25922,1855,N,N,14894,1808,38488,4609,50350,5823,57294,4741,21548,2869,52637,4779,65216,7217,N,N,28269,3479,43.5
310M300US14260,14260,"Boise City, ID ",251142,3056,163943,5371,130938,5357,87199,5352,55162,1774,67462,3086,76739,3738,32093,1528,73245,3205,87794,4299,97720,5062,43126,3633,33.5
310M300US14460,14460,"Boston-Cambridge-Newton, MA-NH ",1803269,7501,1147727,11216,856769,11674,655542,11698,82380,1171,102757,1439,122621,2309,48777,1391,111300,1135,133289,1651,155219,2146,68499,1344,37.3
310M300US14500,14500,"Boulder, CO ",123820,2004,72540,2314,59327,2446,51280,1937,74615,3337,106908,6610,121044,2699,41218,3453,105099,4282,137013,6798,N,N,56926,4262,29.5
310M300US14540,14540,"Bowling Green, KY ",65832,1816,42555,2489,30524,2060,23277,1978,45649,1837,52366,3435,63850,5578,31129,7615,62562,5612,71010,6921,N,N,44209,7916,24.9
310M300US14580,14580,"Bozeman, MT ",39644,1504,23339,1439,N,N,16305,1801,61211,3899,84925,8691,92835,8469,32896,6829,91957,8995,120993,13447,N,N,46582,6290,28.4
310M300US14660,14660,"Brainerd, MN ",37034,1407,24154,1236,19335,1135,12880,1035,51162,2837,66323,5018,78677,3953,27207,3983,74639,7085,89627,9863,N,N,43537,5098,30.9
310M300US14700,14700,"Branson, MO ",34723,2172,23036,1920,N,N,11687,1528,40633,5187,50764,2397,54472,6298,26085,4178,56074,5971,63674,5721,N,N,39301,15493,29.1
310M300US14740,14740,"Bremerton-Silverdale, WA ",101995,2068,68425,2808,52921,2725,33570,2705,69171,3935,80412,3755,91603,4709,42931,5665,85625,3901,98661,5731,N,N,54344,3644,25
310M300US14860,14860,"Bridgeport-Stamford-Norwalk, CT ",335318,3387,233070,4686,178266,4376,102248,4021,90123,2925,111950,3818,132566,3606,47819,3397,143628,3548,171567,5394,200857,6198,75879,4567,38
310M300US15180,15180,"Brownsville-Harlingen, TX ",120499,2424,93840,2985,63295,3308,26659,2124,37061,2142,41361,1834,51494,2801,19100,3639,51206,2565,55661,3089,65369,4280,32704,3764,38.8
310M300US15260,15260,"Brunswick, GA ",42849,2624,28490,2325,N,N,14359,1925,46014,3616,54595,6378,62025,13038,28345,3800,64202,8003,76581,11933,N,N,36650,3707,36.2
310M300US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY ",467259,4059,276295,4910,194170,4900,190964,5478,53487,1293,72354,2225,89259,2220,31727,977,72118,1629,89715,2267,105620,3018,44251,1629,36.2
310M300US15500,15500,"Burlington, NC ",64369,1213,41792,2274,29299,1736,22577,1891,45100,2609,57989,6491,75012,5893,27845,2797,60609,3232,71816,4431,N,N,36476,3133,38
310M300US15540,15540,"Burlington-South Burlington, VT ",85740,1482,51408,2301,41338,2258,34332,2249,66367,3961,86175,5355,98023,5884,38518,3778,86483,4289,107612,6667,N,N,50171,3586,28.8
310M300US15680,15680,"California-Lexington Park, MD ",41368,1136,27781,1766,N,N,13587,1787,78195,7763,95700,9557,109910,7287,52126,7012,91785,4959,104253,6481,N,N,63146,7295,26
310M300US15940,15940,"Canton-Massillon, OH ",163203,2129,107863,2938,79497,2644,55340,3030,50811,1505,62180,2068,74443,2281,31012,1777,66227,2135,76530,2749,87808,3376,43316,3462,29.6
310M300US15980,15980,"Cape Coral-Fort Myers, FL ",261735,5295,171389,5565,134631,4941,90346,4558,52909,1336,63133,2466,70986,2010,33336,2057,74125,2280,85602,2838,95599,3210,49794,3442,36.8
310M300US16020,16020,"Cape Girardeau, MO-IL ",36202,1667,22564,1489,N,N,13638,1330,49059,2906,59815,6704,69055,7666,30118,5573,65422,5966,79733,9192,N,N,37863,5214,44.2
310M300US16060,16060,"Carbondale-Marion, IL ",51761,1474,29681,1691,21101,1665,22080,1558,41603,3596,60940,4685,73531,3976,22397,3683,55799,3027,72202,4147,N,N,31073,3519,33.8
310M300US16180,16180,"Carson City, NV ",21704,882,12599,1170,N,N,9105,1044,52196,4516,65457,5035,73708,9038,31484,2439,63623,4060,77024,5208,N,N,41658,6539,30.6
310M300US16220,16220,"Casper, WY ",32059,1174,20180,1626,N,N,11879,1401,59474,5172,71294,4405,84992,5833,31827,7111,73781,4967,89249,7126,N,N,44318,7042,33.3
310M300US16300,16300,"Cedar Rapids, IA ",107867,2048,68722,2293,56038,2306,39145,2294,63385,3376,82757,2452,91672,2445,38740,3212,80497,3310,98766,4787,110978,5791,45739,3007,29.1
310M300US16500,16500,"Centralia, WA ",29509,1114,19628,1312,N,N,9881,1082,45523,5044,52492,7796,65630,6016,27385,7380,58780,3813,66031,4805,N,N,39339,5191,36
